8 degree,,,15 degree,,,45 degree,,,90 degree,,
Extension (mm),Load (N),N.mm,Extension (mm),Load (N),N.mm,Extension (mm),Load (N),N.mm,Extension (mm),Load (N),N.mm
0.07631,65.83,0.026332,0.07602,75.94,0.03797,0.07735,87.37,0.034948,0.07666,107.8,0.04312
0.07671,66.08,0.03304,0.07652,76.44,0.030576,0.07775,87.78,0.035112,0.07706,108.04,0.043216
0.07721,66.45,0.02658,0.07692,76.71,0.030684,0.07815,88.19,0.035276,0.07746,108.48,0.043392
0.07761,66.5,0.03325,0.07732,76.98,0.03849,0.07855,88.51,0.035404,0.07786,108.87,0.043548
0.07811,66.89,0.026756,0.07782,77.55,0.03102,0.07895,89.12,0.035648,0.07826,109.57,0.043828
0.07851,67.36,0.026944,0.07822,77.99,0.038995,0.07935,89.3,0.03572,0.07866,110.12,0.05506
0.07891,67.63,0.033815,0.07872,78.36,0.031344,0.07975,89.59,0.035836,0.07916,110.81,0.044324
0.07941,67.7,0.02708,0.07912,78.84,0.03942,0.08015,90.1,0.03604,0.07956,111.67,0.044668
0.07981,68,0.0272,0.07962,79.21,0.031684,0.08055,90.39,0.036156,0.07996,112.12,0.033636
0.08021,68.5,0.03425,0.08002,79.52,0.031808,0.08095,90.61,0.027183,0.08026,112.37,0.044948
0.08071,68.74,0.027496,0.08042,80,0.032,0.08125,90.94,0.04547,0.08066,112.59,0.033777
0.08111,69.21,0.027684,0.08082,80.46,0.04023,0.08175,91.27,0.036508,0.08096,113.1,0.04524
0.08151,69.16,0.027664,0.08132,80.85,0.03234,0.08215,91.55,0.03662,0.08136,113.61,0.056805
0.08191,68.41,0.034205,0.08172,81.2,0.0406,0.08255,91.73,0.036692,0.08186,114.57,0.045828
0.08241,68.61,0.027444,0.08222,81.36,0.032544,0.08295,91.91,0.036764,0.08226,114.96,0.045984
0.08281,68.87,0.027548,0.08262,81.7,0.03268,0.08335,91.96,0.036784,0.08266,115.53,0.057765
0.08321,69.02,0.027608,0.08302,82.13,0.032852,0.08375,92.03,0.036812,0.08316,116.12,0.05806
0.08361,69.52,0.027808,0.08342,82.52,0.033008,0.08415,92.12,0.036848,0.08366,116.61,0.046644
0.08401,69.79,0.027916,0.08382,82.88,0.033152,0.08455,92.07,0.036828,0.08406,117.3,0.05865
0.08441,70.22,0.028088,0.08422,83.16,0.033264,0.08495,92.03,0.036812,0.08456,117.59,0.047036
0.08481,70.55,0.02822,0.08462,83.54,0.033416,0.08535,92.16,0.036864,0.08496,117.98,0.047192
0.08521,70.89,0.028356,0.08502,84,0.042,0.08575,92.43,0.036972,0.08536,118.64,0.05932
0.08561,71.25,0.0285,0.08552,84.26,0.025278,0.08615,92.73,0.046365,0.08586,119.33,0.047732
0.08601,71.49,0.028596,0.08582,84.53,0.033812,0.08665,92.98,0.037192,0.08626,119.95,0.059975
0.08641,71.84,0.028736,0.08622,84.99,0.033996,0.08705,93.2,0.03728,0.08676,120.3,0.04812
0.08681,72.22,0.028888,0.08662,85.33,0.034132,0.08745,93.53,0.037412,0.08716,120.83,0.048332
0.08721,72.54,0.029016,0.08702,85.72,0.034288,0.08785,93.87,0.037548,0.08756,120.97,0.048388
0.08761,72.65,0.02906,0.08742,85.91,0.034364,0.08825,94.15,0.03766,0.08796,120.67,0.048268
0.08801,73.07,0.029228,0.08782,86.29,0.034516,0.08865,94.56,0.037824,0.08836,120.96,0.06048
0.08841,73.6,0.0368,0.08822,86.78,0.04339,0.08905,94.76,0.04738,0.08886,121.66,0.048664
0.08891,73.71,0.022113,0.08872,87.06,0.034824,0.08955,94.99,0.037996,0.08926,122.11,0.048844
0.08921,74.1,0.03705,0.08912,87.28,0.034912,0.08995,95.43,0.047715,0.08966,122.77,0.049108
0.08971,74.19,0.029676,0.08952,87.95,0.03518,0.09045,95.96,0.038384,0.09006,123.21,0.049284
0.09011,74.53,0.029812,0.08992,88.2,0.03528,0.09085,96.21,0.038484,0.09046,123.54,0.037062
0.09051,74.79,0.029916,0.09032,88.52,0.035408,0.09125,96.68,0.058008,0.09076,123.94,0.049576
0.09091,75.04,0.030016,0.09072,88.96,0.035584,0.09185,97.5,0.039,0.09116,124.28,0.06214
0.09131,75.23,0.037615,0.09112,89.37,0.035748,0.09225,97.69,0.039076,0.09166,124.14,0.037242
0.09181,75.01,0.030004,0.09152,89.74,0.04487,0.09265,97.92,0.039168,0.09196,124.69,0.049876
0.09221,75.3,0.03012,0.09202,90.05,0.03602,0.09305,98.29,0.039316,0.09236,125.08,0.050032
0.09261,75.53,0.030212,0.09242,90.42,0.036168,0.09345,98.34,0.039336,0.09276,125.72,0.050288
0.09301,75.6,0.03024,0.09282,90.61,0.036244,0.09385,98.6,0.03944,0.09316,125.99,0.050396
0.09341,75.98,0.030392,0.09322,91.05,0.03642,0.09425,98.81,0.039524,0.09356,126.53,0.050612
0.09381,76.17,0.038085,0.09362,91.5,0.0366,0.09465,98.82,0.039528,0.09396,127.17,0.050868
0.09431,76.53,0.030612,0.09402,91.91,0.045955,0.09505,98.88,0.039552,0.09436,127.5,0.051
0.09471,76.55,0.038275,0.09452,92.29,0.036916,0.09545,99.15,0.03966,0.09476,128,0.0512
0.09521,76.88,0.030752,0.09492,92.6,0.03704,0.09585,99.02,0.039608,0.09516,128.46,0.06423
0.09561,77.14,0.03857,0.09532,93.17,0.046585,0.09625,99.12,0.039648,0.09566,129.04,0.051616
0.09611,77.31,0.030924,0.09582,93.3,0.03732,0.09665,99.24,0.039696,0.09606,129.61,0.051844
0.09651,77.16,0.030864,0.09622,93.82,0.04691,0.09705,99.28,0.039712,0.09646,130.06,0.052024
0.09691,77.26,0.03863,0.09672,93.97,0.046985,0.09745,99.58,0.039832,0.09686,130.69,0.052276
0.09741,77.03,0.030812,0.09722,89.45,0.03578,0.09785,99.74,0.039896,0.09726,131.2,0.0656
